,REF_DATE,GEO,Sex,Age group,UOM,VALUE
134,2006-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,166751.0
135,2006-01-01,"Winnipeg, Manitoba",Both sexes,All ages,Persons,716043.0
136,2006-01-01,"Regina, Saskatchewan",Both sexes,All ages,Persons,201093.0
137,2006-01-01,"Saskatoon, Saskatchewan",Both sexes,All ages,Persons,241931.0
138,2006-01-01,"Calgary, Alberta",Both sexes,All ages,Persons,1124723.0
139,2006-01-01,"Edmonton, Alberta",Both sexes,All ages,Persons,1074031.0
140,2006-01-01,"Kelowna, British Columbia",Both sexes,All ages,Persons,167123.0
141,2006-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2188743.0
142,2006-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,339693.0
143,2006-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,17187.0
144,2007-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,186173.0
145,2007-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,386402.0
146,2007-01-01,"Québec, Quebec",Both sexes,All ages,Persons,738487.0
147,2007-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,194838.0
148,2007-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,147126.0
149,2007-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,3820627.0
150,2007-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,347901.0
151,2007-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,5415765.0
152,2007-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,721376.0
153,2007-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,402845.0
154,2007-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,492486.0
155,2007-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,140239.0
156,2007-01-01,"London, Ontario",Both sexes,All ages,Persons,478557.0
157,2007-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,335457.0
158,2007-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,167308.0
159,2007-01-01,"Winnipeg, Manitoba",Both sexes,All ages,Persons,719269.0
160,2007-01-01,"Regina, Saskatchewan",Both sexes,All ages,Persons,203144.0
161,2007-01-01,"Saskatoon, Saskatchewan",Both sexes,All ages,Persons,246052.0
162,2007-01-01,"Calgary, Alberta",Both sexes,All ages,Persons,1155560.0
163,2007-01-01,"Edmonton, Alberta",Both sexes,All ages,Persons,1104317.0
164,2007-01-01,"Kelowna, British Columbia",Both sexes,All ages,Persons,170995.0
165,2007-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2216948.0
166,2007-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,342052.0
167,2007-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,17473.0
168,2008-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,189575.0
169,2008-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,389919.0
170,2008-01-01,"Québec, Quebec",Both sexes,All ages,Persons,748407.0
171,2008-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,196418.0
172,2008-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,148502.0
173,2008-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,3859334.0
174,2008-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,352767.0
175,2008-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,5501325.0
176,2008-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,725665.0
177,2008-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,401785.0
178,2008-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,497508.0
179,2008-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,141550.0
180,2008-01-01,"London, Ontario",Both sexes,All ages,Persons,481970.0
181,2008-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,332569.0
182,2008-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,168016.0
183,2008-01-01,"Winnipeg, Manitoba",Both sexes,All ages,Persons,722848.0
184,2008-01-01,"Regina, Saskatchewan",Both sexes,All ages,Persons,206077.0
185,2008-01-01,"Saskatoon, Saskatchewan",Both sexes,All ages,Persons,251481.0
186,2008-01-01,"Calgary, Alberta",Both sexes,All ages,Persons,1187476.0
187,2008-01-01,"Edmonton, Alberta",Both sexes,All ages,Persons,1131781.0
188,2008-01-01,"Kelowna, British Columbia",Both sexes,All ages,Persons,175162.0
189,2008-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2253672.0
190,2008-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,344394.0
191,2008-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,17773.0
192,2009-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,193867.0
193,2009-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,393688.0
194,2009-01-01,"Québec, Quebec",Both sexes,All ages,Persons,758345.0
195,2009-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,198786.0
196,2009-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,150112.0
197,2009-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,3907597.0
198,2009-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,357274.0
199,2009-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,5588312.0
200,2009-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,730354.0
201,2009-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,401517.0
202,2009-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,501631.0
203,2009-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,142773.0
204,2009-01-01,"London, Ontario",Both sexes,All ages,Persons,483908.0
205,2009-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,329634.0
206,2009-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,168148.0
207,2009-01-01,"Winnipeg, Manitoba",Both sexes,All ages,Persons,729444.0
208,2009-01-01,"Regina, Saskatchewan",Both sexes,All ages,Persons,210464.0
209,2009-01-01,"Saskatoon, Saskatchewan",Both sexes,All ages,Persons,257960.0
210,2009-01-01,"Calgary, Alberta",Both sexes,All ages,Persons,1220700.0
211,2009-01-01,"Edmonton, Alberta",Both sexes,All ages,Persons,1163333.0
212,2009-01-01,"Kelowna, British Columbia",Both sexes,All ages,Persons,178330.0
213,2009-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2301469.0
214,2009-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,348064.0
215,2009-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,17992.0
216,2010-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,198553.0
217,2010-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,398356.0
218,2010-01-01,"Québec, Quebec",Both sexes,All ages,Persons,768374.0
219,2010-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,201680.0
220,2010-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,151903.0
221,2010-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,3953773.0
222,2010-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,362506.0
223,2010-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,5681126.0
224,2010-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,736875.0
225,2010-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,402182.0
226,2010-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,506907.0
227,2010-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,144324.0
228,2010-01-01,"London, Ontario",Both sexes,All ages,Persons,486555.0
229,2010-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,328520.0
230,2010-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,167687.0
231,2010-01-01,"Winnipeg, Manitoba",Both sexes,All ages,Persons,736073.0
232,2010-01-01,"Regina, Saskatchewan",Both sexes,All ages,Persons,214480.0
233,2010-01-01,"Saskatoon, Saskatchewan",Both sexes,All ages,Persons,264665.0
234,2010-01-01,"Calgary, Alberta",Both sexes,All ages,Persons,1240521.0
235,2010-01-01,"Edmonton, Alberta",Both sexes,All ages,Persons,1183929.0
236,2010-01-01,"Kelowna, British Columbia",Both sexes,All ages,Persons,181435.0
237,2010-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2344847.0
238,2010-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,351150.0
239,2010-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,18175.0
240,2011-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,202376.0
241,2011-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,402074.0
242,2011-01-01,"Québec, Quebec",Both sexes,All ages,Persons,777938.0
243,2011-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,204653.0
244,2011-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,153200.0
245,2011-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,3994492.0
246,2011-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,367052.0
247,2011-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,5768001.0
248,2011-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,741956.0
249,2011-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,402623.0
250,2011-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,512547.0
251,2011-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,145634.0
252,2011-01-01,"London, Ontario",Both sexes,All ages,Persons,489086.0
253,2011-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,328295.0
254,2011-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,167609.0
255,2011-01-01,"Winnipeg, Manitoba",Both sexes,All ages,Persons,745774.0
256,2011-01-01,"Regina, Saskatchewan",Both sexes,All ages,Persons,218657.0
257,2011-01-01,"Saskatoon, Saskatchewan",Both sexes,All ages,Persons,271728.0
258,2011-01-01,"Calgary, Alberta",Both sexes,All ages,Persons,1263935.0
259,2011-01-01,"Edmonton, Alberta",Both sexes,All ages,Persons,1205342.0
260,2011-01-01,"Kelowna, British Columbia",Both sexes,All ages,Persons,183619.0
261,2011-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2374642.0
262,2011-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,352050.0
263,2011-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,18310.0
264,2012-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,204537.0
265,2012-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,404376.0
266,2012-01-01,"Québec, Quebec",Both sexes,All ages,Persons,783796.0
267,2012-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,206677.0
268,2012-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,153902.0
269,2012-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,4031655.0
270,2012-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,372288.0
271,2012-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,5852841.0
272,2012-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,747678.0
273,2012-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,404504.0
274,2012-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,517359.0
275,2012-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,147971.0
276,2012-01-01,"London, Ontario",Both sexes,All ages,Persons,491868.0
277,2012-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,329971.0
278,2012-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,168205.0
279,2012-01-01,"Winnipeg, Manitoba",Both sexes,All ages,Persons,757053.0
280,2012-01-01,"Regina, Saskatchewan",Both sexes,All ages,Persons,225232.0
281,2012-01-01,"Saskatoon, Saskatchewan",Both sexes,All ages,Persons,280765.0
282,2012-01-01,"Calgary, Alberta",Both sexes,All ages,Persons,1300292.0
283,2012-01-01,"Edmonton, Alberta",Both sexes,All ages,Persons,1234307.0
284,2012-01-01,"Kelowna, British Columbia",Both sexes,All ages,Persons,186137.0
285,2012-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2418938.0
286,2012-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,358426.0
287,2012-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,18339.0
288,2013-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,206257.0
289,2013-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,405598.0
290,2013-01-01,"Québec, Quebec",Both sexes,All ages,Persons,789275.0
291,2013-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,208523.0
292,2013-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,154391.0
293,2013-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,4066332.0
294,2013-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,376783.0
295,2013-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,5931697.0
296,2013-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,752450.0
297,2013-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,405870.0
298,2013-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,521494.0
299,2013-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,149597.0
300,2013-01-01,"London, Ontario",Both sexes,All ages,Persons,494151.0
301,2013-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,334502.0
302,2013-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,168671.0
303,2013-01-01,"Winnipeg, Manitoba",Both sexes,All ages,Persons,766503.0
304,2013-01-01,"Regina, Saskatchewan",Both sexes,All ages,Persons,231044.0
305,2013-01-01,"Saskatoon, Saskatchewan",Both sexes,All ages,Persons,287960.0
306,2013-01-01,"Calgary, Alberta",Both sexes,All ages,Persons,1344686.0
307,2013-01-01,"Edmonton, Alberta",Both sexes,All ages,Persons,1271773.0
308,2013-01-01,"Kelowna, British Columbia",Both sexes,All ages,Persons,189130.0
309,2013-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2459426.0
310,2013-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,364837.0
311,2013-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,18502.0
312,2014-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,208228.0
313,2014-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,407061.0
314,2014-01-01,"Québec, Quebec",Both sexes,All ages,Persons,794411.0
315,2014-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,209930.0
316,2014-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,155188.0
317,2014-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,4093501.0
318,2014-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,380948.0
319,2014-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,5998737.0
320,2014-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,756928.0
321,2014-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,407835.0
322,2014-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,525299.0
323,2014-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,151684.0
324,2014-01-01,"London, Ontario",Both sexes,All ages,Persons,497055.0
325,2014-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,336369.0
326,2014-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,168522.0
327,2014-01-01,"Winnipeg, Manitoba",Both sexes,All ages,Persons,776923.0
328,2014-01-01,"Regina, Saskatchewan",Both sexes,All ages,Persons,235876.0
329,2014-01-01,"Saskatoon, Saskatchewan",Both sexes,All ages,Persons,294216.0
330,2014-01-01,"Calgary, Alberta",Both sexes,All ages,Persons,1386828.0
331,2014-01-01,"Edmonton, Alberta",Both sexes,All ages,Persons,1312214.0
