,REF_DATE,GEO,New housing price indexes,UOM,VALUE
95,2001-05-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
96,2001-05-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
97,2001-05-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",60.7
98,2001-05-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
99,2001-05-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",56.3
100,2001-05-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",61.1
101,2001-05-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",62.0
102,2001-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",66.7
103,2001-05-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
104,2001-05-01,"London, Ontario",Total (house and land),"Index, 201612=100",64.8
105,2001-05-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.7
106,2001-05-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",80.9
107,2001-05-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.2
108,2001-05-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",38.5
109,2001-05-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.4
110,2001-05-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",43.3
111,2001-05-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",50.9
112,2001-05-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
113,2001-05-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",73.1
114,2001-05-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",83.8
115,2001-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",49.4
116,2001-06-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",66.4
117,2001-06-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",59.8
118,2001-06-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
119,2001-06-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
120,2001-06-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",61.0
121,2001-06-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
122,2001-06-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",56.5
123,2001-06-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",61.3
124,2001-06-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",62.2
125,2001-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",67.3
126,2001-06-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
127,2001-06-01,"London, Ontario",Total (house and land),"Index, 201612=100",64.9
128,2001-06-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.8
129,2001-06-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.0
130,2001-06-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.2
131,2001-06-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",38.5
132,2001-06-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.6
133,2001-06-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",43.7
134,2001-06-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",51.1
135,2001-06-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
136,2001-06-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",73.2
137,2001-06-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",83.8
138,2001-07-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",50.6
139,2001-07-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",66.4
140,2001-07-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",59.8
141,2001-07-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
142,2001-07-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
143,2001-07-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",61.0
144,2001-07-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
145,2001-07-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",56.6
146,2001-07-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",61.6
147,2001-07-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",62.2
148,2001-07-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",67.5
149,2001-07-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
150,2001-07-01,"London, Ontario",Total (house and land),"Index, 201612=100",64.9
151,2001-07-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.7
152,2001-07-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.0
153,2001-07-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.2
154,2001-07-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",38.5
155,2001-07-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.6
156,2001-07-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",43.9
157,2001-07-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",51.4
158,2001-07-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
159,2001-07-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",73.6
160,2001-07-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",84.0
161,2001-08-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",50.6
162,2001-08-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",66.9
163,2001-08-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",59.7
164,2001-08-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
165,2001-08-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
166,2001-08-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",61.2
167,2001-08-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
168,2001-08-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",56.7
169,2001-08-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",61.6
170,2001-08-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",62.5
171,2001-08-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",67.7
172,2001-08-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
173,2001-08-01,"London, Ontario",Total (house and land),"Index, 201612=100",64.9
174,2001-08-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.7
175,2001-08-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.1
176,2001-08-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.2
177,2001-08-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",38.5
178,2001-08-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.6
179,2001-08-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",43.9
180,2001-08-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",51.5
181,2001-08-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
182,2001-08-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",73.7
183,2001-08-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",84.0
184,2001-09-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",50.6
185,2001-09-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",66.9
186,2001-09-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",59.9
187,2001-09-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
188,2001-09-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
189,2001-09-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",61.4
190,2001-09-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
191,2001-09-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",56.8
192,2001-09-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",61.9
193,2001-09-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",62.7
194,2001-09-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",67.8
195,2001-09-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
196,2001-09-01,"London, Ontario",Total (house and land),"Index, 201612=100",65.1
197,2001-09-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.7
198,2001-09-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.4
199,2001-09-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.3
200,2001-09-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",38.5
201,2001-09-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.6
202,2001-09-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",44.1
203,2001-09-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",51.6
204,2001-09-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
205,2001-09-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",74.0
206,2001-09-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",83.9
207,2001-10-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",50.6
208,2001-10-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",67.2
209,2001-10-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",59.6
210,2001-10-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
211,2001-10-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
212,2001-10-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",61.6
213,2001-10-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
214,2001-10-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",56.8
215,2001-10-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",62.2
216,2001-10-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",62.5
217,2001-10-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",68.1
218,2001-10-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
219,2001-10-01,"London, Ontario",Total (house and land),"Index, 201612=100",65.2
220,2001-10-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.7
221,2001-10-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.4
222,2001-10-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.3
223,2001-10-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",38.5
224,2001-10-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.6
225,2001-10-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",44.2
226,2001-10-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",51.6
227,2001-10-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
228,2001-10-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",74.3
229,2001-10-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",84.0
230,2001-11-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",50.6
231,2001-11-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",67.6
232,2001-11-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",59.6
233,2001-11-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
234,2001-11-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
235,2001-11-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",61.7
236,2001-11-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
237,2001-11-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",57.0
238,2001-11-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",61.8
239,2001-11-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",62.5
240,2001-11-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",67.6
241,2001-11-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
